x,y
1000,695
1001,695
950,696
951,696
902,480
903,480
904,480
905,480
906,480
907,480
908,480
909,480
910,480
934,480
935,480
936,480
937,480
938,480
939,480
940,480
941,480
942,480
943,480
905,481
906,481
907,481
908,481
909,481
910,481
911,481
912,481
934,481
935,481
936,481
937,481
938,481
939,481
940,481
941,481
942,481
943,481
944,481
945,481
905,482
906,482
907,482
908,482
909,482
910,482
911,482
912,482
934,482
935,482
936,482
937,482
938,482
939,482
940,482
941,482
942,482
943,482
944,482
945,482
905,483
906,483
907,483
908,483
909,483
910,483
911,483
912,483
934,483
935,483
936,483
937,483
938,483
939,483
940,483
941,483
942,483
943,483
944,483
905,484
906,484
907,484
908,484
909,484
910,484
911,484
912,484
936,484
937,484
938,484
939,484
940,484
941,484
942,484
943,484
944,484
905,485
906,485
907,485
908,485
909,485
910,485
911,485
912,485
936,485
937,485
938,485
939,485
940,485
941,485
942,485
943,485
905,486
906,486
907,486
908,486
909,486
910,486
911,486
912,486
935,486
936,486
937,486
938,486
939,486
940,486
941,486
942,486
905,487
906,487
907,487
908,487
909,487
910,487
911,487
912,487
936,487
937,487
938,487
939,487
940,487
941,487
942,487
943,487
944,487
945,487
905,488
906,488
907,488
908,488
909,488
910,488
911,488
912,488
935,488
936,488
937,488
938,488
939,488
940,488
941,488
942,488
943,488
944,488
905,489
906,489
907,489
908,489
909,489
910,489
911,489
912,489
913,489
914,489
935,489
936,489
937,489
938,489
939,489
940,489
941,489
942,489
943,489
944,489
945,489
946,489
905,490
906,490
907,490
908,490
909,490
910,490
911,490
912,490
913,490
914,490
935,490
936,490
937,490
938,490
939,490
940,490
941,490
942,490
943,490
944,490
945,490
946,490
905,491
906,491
907,491
908,491
909,491
910,491
911,491
912,491
913,491
914,491
935,491
936,491
937,491
938,491
939,491
940,491
941,491
942,491
943,491
944,491
945,491
946,491
905,492
906,492
907,492
908,492
909,492
910,492
911,492
912,492
913,492
914,492
915,492
916,492
937,492
938,492
939,492
940,492
941,492
942,492
943,492
944,492
945,492
946,492
905,493
906,493
907,493
908,493
909,493
910,493
911,493
912,493
913,493
914,493
915,493
916,493
937,493
938,493
939,493
940,493
941,493
942,493
943,493
944,493
945,493
946,493
905,494
906,494
907,494
908,494
909,494
910,494
911,494
912,494
913,494
914,494
915,494
916,494
937,494
938,494
939,494
940,494
941,494
942,494
943,494
944,494
945,494
946,494
909,495
910,495
911,495
912,495
913,495
914,495
915,495
916,495
917,495
918,495
937,495
938,495
939,495
940,495
941,495
942,495
943,495
944,495
945,495
946,495
909,496
910,496
911,496
912,496
913,496
914,496
915,496
916,496
917,496
918,496
937,496
938,496
939,496
940,496
941,496
942,496
943,496
944,496
945,496
946,496
909,497
910,497
911,497
912,497
913,497
914,497
915,497
916,497
917,497
918,497
937,497
938,497
939,497
940,497
941,497
942,497
943,497
944,497
945,497
946,497
947,497
909,498
910,498
911,498
912,498
913,498
914,498
915,498
916,498
917,498
918,498
940,498
941,498
942,498
943,498
944,498
945,498
946,498
947,498
909,499
910,499
911,499
912,499
913,499
914,499
915,499
916,499
917,499
940,499
941,499
942,499
943,499
944,499
945,499
946,499
947,499
909,500
910,500
911,500
912,500
913,500
914,500
915,500
916,500
917,500
918,500
940,500
941,500
942,500
943,500
944,500
945,500
946,500
947,500
909,501
910,501
911,501
912,501
913,501
914,501
915,501
916,501
917,501
940,501
941,501
942,501
943,501
944,501
945,501
946,501
947,501
909,502
910,502
911,502
912,502
913,502
914,502
915,502
916,502
917,502
940,502
941,502
942,502
943,502
944,502
945,502
946,502
947,502
911,503
912,503
913,503
914,503
